title,category,image_url,ingredients,instructions
Gruszki z czekoladą pod orzechową kruszonką,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2019/09/IMG_9412_male-600x900.jpg,"6 miękkich gruszek / 800 g 6 kostek gorzkiej czekolady 1 łyżeczka mąki, dowolnej; 2/3 szklanki orzechów laskowych 1/2 szklanki płatków owsianych 1 łyżka cukru trzcinowego 1/2 łyżeczki kawy mielonej, parzonej 1/4 łyżeczki soli; 3 – 4 łyżki oleju, dowolnego","Rozgrzać piekarnik do 180 stopni. Gruszki obrać, pokroić na duże kawałki, wrzucić do naczynia żaroodpornego i obsypać mąką. Wymieszać, dorzucić przekrojone na pół kostki czekolady.
Do kubeczka blendera z małym ostrzem „S” wsypać orzechy, płatki owsiane, cukier trzcinowy, kawę oraz sól. Krótko zblendować, tylko do momentu, aż wszystko będzie lekko posiekane, przez około 10 – 15 sekund. Dodać olej i dopiero dalej blendować do momentu, aż wszystko się połączy.
Kruszonkę wyłożyć na gruszki, tak, żeby przykryła wszystkie owoce, wyrównać i wsunąć do piekarnika. Piec przez 15 minut, następnie lekko wyrównać kruszonkę i sprawdzić, czy się nie przypieka i dopiekać kolejne 15 minut. Podawać gorące bez żadnych dodatków, albo w wersji naprawdę rozpustnej, polane kokosowym mleczkiem. Następnego dnia świetnie smakuje na śniadanie."
Postępowy sos pomidorowy,Śniadania,,,
Gruszki z czekoladą pod orzechową kruszonką,Śniadania,,,
Kokosowa owsianka z masłem orzechowym i malinami,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2018/07/IMG_8463_male-600x900.jpg,½ szklanki płatków owsianych 1 szklanka wody 1 mała puszka mleczka kokosowego / 165 ml ½ łyżeczki cukru trzcinowego albo dowolnego słodzika szczypta soli oraz do podania: garść malin; Składniki na krem z masła orzechowego: 2 łyżki masła orzechowego 3 – 4 łyżki wody szczypta soli,"Do małego garneczka dodać płatki owsiane, kokosowe mleczko, wodę, cukier oraz sól. Doprowadzić do zagotowania, a następnie gotować na małym ogniu nie mieszając przez 5 – 7 minut czyli do momentu, aż owsianka odpowiednio zgęstnieje.
W międzyczasie do blendera dodać masło orzechowe z wodą oraz solą i przygotować orzechowy krem. W miseczce rozgnieść maliny.
Gotową owsiankę nałożyć do misek, na każdą nałożyć łyżeczkę orzechowego kremu i dużą łyżkę rozgniecionych malin. Dobrze smakuje na gorąco i na zimno."
Makrelowa pasta z tempehu,Śniadania,,,
Puszyste ciasto z truskawkami,Śniadania,,,
Kokosowa owsianka z masłem orzechowym i malinami,Śniadania,,,
Ulubiony rabarbar pod kawową kruszonką,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2018/05/IMG_7449-2male-600x900.jpg,"300 g rabarbaru / 2 łodygi 100 g mrożonych jagód lub porzeczek / 1 szklanka 2 łyżeczki mąki, dowolnej 1 łyżka trzcinowego cukru; Składniki na kruszonkę: 1/2 szklanki płatków owsianych 1/4 szklanki pestek dyni 1/4 szklanki trzcinowego cukru 2 łyżeczki kawy mielonej, nierozpuszczalnej 1/3 łyżeczki soli; 2 – 3 łyżki oleju kokosowego do podania: kokosowe mleczko, opcjonalnie","Piekarnik rozgrzać do 200 stopni. Rabarbar pokroić, wsypać do foremki i dodać jagody, mąkę oraz cukier. Niedbale wymieszać i odstawić na bok.
Do kubeczka blendera z ostrzem S wsypać wszystkie składniki na kruszonkę poza olejem. Rozdrobnić na grubą mąkę, dodać olej kokosowy i zblendować ponownie. Tak przygotowaną kruszonkę wyłożyć na owoce, wsunąć do piekarnika i piec przez 20 – 30 minut do momentu, aż będzie rumiana.
Podawać na gorąco z łyżką kokosowego mleczka, ewentualnie kokosowego jogurtu. Niemal równie dobrze smakuje następnego dnia na zimno. Niestety, bardzo szybko znika."
Puszyste ciasto z truskawkami,Śniadania,,,
Pieczone szparagi z pomidorkami,Śniadania,,,
Dal z rabarbarem,Śniadania,,,
Złota owsianka,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2018/02/IMG_6111-2_male-600x900.jpg,"1 łyżeczka oleju kokosowego lub innego 1/2 łyżeczki kurkumy szczypta czarnego pieprzu; 1/4 szklanki płatków owsianych 1 szklanka mleka roślinnego szczypta soli szczypta cukru trzcinowego; do podania: syrop klonowy, ulubione orzechy, ulubione bakalie lub owoc","Na dno małego rondelka włożyć olej kokosowy i lekko podgrzać. Dodać kurkumę oraz pieprz i podgrzewać przez 30 sekund.
Po tym czasie dodać płatki, mleko, sól oraz cukier i gotować przez 10 – 15 minut na małym ogniu, co jakiś czas można zamieszać. Na koniec jeśli owsianka jest za gęsta można dodać 1 – 2 łyżki mleka i podawać z ulubionymi dodatkami. Dobrze smakuje naprawdę ze wszystkim."
Czy warto jeść warzywa mrożone lub z puszki?,Śniadania,,,
Dyniowa owsianka,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2017/10/IMG_4578_male-600x900.jpg,"600 g dyni/ 1/2 dyni małej dyni piżmowej; 1/2 łyżeczki cynamonu 1/2 łyżeczki imbiru 1/8 łyżeczki gałki muszkatołowej 2 łyżki oleju kokosowego, dowolnego; 1 szklanka płatków owsianych 2 szklanki mleka roślinnego, dowolnego 2 łyżki syropu z agawy lub innego słodzika 1/8 łyżeczki soli ekstrakt waniliowy, opcjonalnie do podania: syrop klonowy, ulubione pestki lub orzechy","Dynię obrać i zetrzeć na grubych oczkach tarki. Na dnie średniej wielkości garnka rozgrzać olej kokosowy, dodać przyprawy oraz dynię i smażyć przez 2 -3 minuty mieszając.
Dodać resztę składników i gotować pod przykryciem przez 4 – 5 minut. Następnie odkryć i gotować jeszcze 4 – 5 minut do momentu, aż owsianka będzie miała odpowiednią konsystencję. W razie potrzeby dodać więcej mleka, podawać z ulubionymi dodatkami i kroplą syropu klonowego na wierzchu."
Pasta z dyni i masła orzechowego,Śniadania,,,
Owoce pod owsianką kruszonką,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2017/08/IMG_3959_male-600x900.jpg,350 g jagód 250 g porzeczek 700 g moreli; 1 1/4 szklanka płatków owsianych 1/4 szklanki migdałów 1/4 szklanki cukru trzcinowego lub kokosowego 1/3 łyżeczki kardamonu 1/4 łyżeczki soli; 1/3 szklanki oleju kokosowego; do podania: kokosowe mleczko albo ulubiony sorbet,"Piekarnik rozgrzać do 180 stopni. Duże naczynie żaroodporne delikatnie posmarować olejem kokosowym. Morelom wykroić pestki, przekroić na ćwiartki, dodać do naczynia i wsypać porzeczki oraz jagody.
W małym kubeczku blendera umieścić wszystkie pozostałe składnikipoza olejem kokosowym. Zmiksować na grubą mąkę, 1 czubatą łyżką mieszanki posypać owoce w foremce, a do reszty dodać olej kokosowy i ponownie zmiksować na kruszonkę.
Tak przygotowaną kruszonkę wysypać na owoce, wsunąć do gorącego piekarnika i piec przez 25 – 35 minut do momentu, aż kruszonka będzie złocista. Wyjąć i podawać na gorąco bez dodatków albo z kleksem kokosowego mleka."
Owoce pod owsianką kruszonką,Śniadania,,,
Rabarbar pod kokosową kruszonką,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2017/06/IMG_3200_male-600x900.jpg,"1 kg rabarbaru 2 łyżki mąki, dowolnej 2 łyżki cukru trzcinowego; 1/2 szklanki kokosowych wiórek 1/2 szklanki nasion słonecznika 1/4 szklanki płatków owsianych lub jaglanych 1/3 szklanki oleju kokosowego 1/3 szklanki cukru trzcinowego 1 łyżeczka ekstraktu wanilowego 1/4 łyżeczki soli do podania: kokosowe mleczko, kokosowa śmietanka lub gałka ulubionego sorbetu","Piekarnik rozgrzać do 200 stopni. Rabarbar pokroić, wsypać do foremki oraz wymieszać z mąką i cukrem.
Do małego kubeczka blendera z ostrzem w kształcie litery „S” dodać wszystkie składniki na kruszonkę i zmiksować na rozdrobnioną, gładką pastę.
Na rabarbar wysypać przygotowaną kruszonkę, naczynie wsunąć do piekarnika i piec przez 25 – 30 minut. Podawać na gorąco z kokosowym mleczkiem, dobrze smakuje też na zimno jako drugie śniadanie."
"Tom kha, czyli zupa kokosowa",Śniadania,,,
Wegańskie gofry idealne,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2017/03/IMG_2038-copy_male-600x900.jpg,"Składniki na ciasto: 1 ½ szklanki mąki pszennej 1 szklanka mleka roślinnego + 2 łyżki 1 łyżka octu jabłkowego lub soku z cytryny ½ łyżeczki proszku do pieczenia ⅓ łyżeczki soli; Do ubicia: ½ szklanki aquafaby, czyli mniej niż w jednej puszce ciecierzycy; 2 łyżki cukru trzcinowego lub innego słodzika; 3 łyżki oleju roślinnego; oraz: olej do posmarownaia gofrownicy i wszystko, na co tylko macie ochotę do podania","Wszystkie składniki na ciasto wymieszać w niedużej misce przy pomocy szpatuły lub miksera na gęste, lepkie ciasto. Odstawić na bok.
W bardzo dużej misce przy pomocy miksera ubić aquafabę na sztywną pianę – zajmuje to około 4 – 6 minut. Piana powinna być tak sztywna, że można swobodnie obracać miskę.
Do ubitej piany dodawać po łyżce cukru i wciąż miskować przez 1 minutę. Następnie po łyżce dodawać olej i miksować kolejną minutę.
Na koniec do piany po łyżce dodawać ciasto i ubijać na niskich obrotach do momentu, aż piana połączy się z gęstym ciastem w jedną, puszystą, gładką masę.
Porządnie rozgrzać gofrownicę, posmarować delikatnie olejem i wyłożyć porcję ciasta. Piec na złoto i podawać z ulubionymi składnikami."
Kokosowa owsianka z żurawiną,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2016/11/IMG_7516_male-600x900.jpg,½ szklanki płatków owsianych 1 szklanka wody 1 mała puszka mleczka kokosowego / 165 ml 1 łyżeczka cukru trzcinowego ¼ laski wanilii szczypta soli; ½ szklanki świeżej żurawiny ¼ szklanki zaparzonej herbaty aroniowej lub różanej,"Do rondelka włożyć wszystkie składniki poza żurawiną i herbatą. Podgrzewać na małym ogniu nie mieszając, następnie gotować przez 5 –  7 minut do czasu, aż odpowiednio zgęstnieje.
W międzyczasie w rondelku obok zagotować żurawinę z herbatą aroniową. Gotować przez 2 – 3 minuty, do momentu aż żurawina zrobi się miękka.
Gorącą owsiankę nakładać do miseczek razem z żurawiną, można obsypać wiórkami kokosowymi."
Migdałowa jaglanka z jagodami,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2016/08/IMG_3838_small-600x900.jpg,"⅓ szklanki migdałów, namoczonych przez całą noc w wodzie 1 szklanka wody szczypta soli; 1 szklanka kaszy jaglanej 2 szklanki wody szczypta soli morskiej; mały kawałek marcepanu lub cztery kartofelki marcepanowe do podania: syrop z agawy, jagody","Zacząć od przygotowania kaszy jaglanej. W czajniku zagotować gorącą wodę, odmierzoną kaszę wsypać do małego rondelka i wlać taką ilość wrzątku, aby przykrył kaszę. Wrzątek odlać, a następnie dodać odmierzone dwie szklanki wody wraz ze szczyptą soli i gotować kaszę pod przykryciem na minimalnym ogniu do czasu, aż wchłonie cały płyn, czyli około 15 minut.
W międzyczasie przygotować mleko migdałowe. Migdały odcedzić, przełożyć do blendera wraz z odmierzoną, świeżą wodą oraz szczyptą soli. Blendować przez 30 – 60 sekund, a następnie przecedzić przez gazę do butelki. W butelce jest już gotowe mleko migdałowe.
Ugotowaną kaszę jaglaną zamieszać, dodać mleko migdałowe oraz pokruszony marcepan. Podgrzewać mieszając na niedużym ogniu przez 1 – 2 minuty, nakładać do misek i polewać syropem oraz posypywać mnóstwem jagód."
Fasolowy pasztet z jabłkiem,Śniadania,,,
Czekoladowa owsianka z malinami,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2016/07/IMG_3418-copy-600x900.jpg,⅔ szklanki płatków owsianych 2 szklanki mleka roślinnego lub wody 5 daktyli szczypta soli; 4 – 6 kostek gorzkiej czekolady do podania: garść malin,"Daktyle pokroić na małe kawałki. Wszystkie składniki owsianki poza czekoladą włożyć do rondelka i gotować na niedużym ogniu przez 5 – 8 minut, czyli do czasu, aż płatki zmiękną.
W międzyczasie posiekać czekoladę, dodać do rondelka  i intensywnie mieszać trzonkiem łyżki, aż do rozpuszczenia. Gorącą owsiankę nakładać do miseczek i podawać z malinami."
Zimowa caponata z selera,Śniadania,,,
Kokosowa owsianka z rabarbarem,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2016/05/IMG_1243-2-copy-600x900.jpg,¼ szklanki płatków owsianych 1 szklanka mleka kokosowego 1 łyżeczka cukru trzcinowego szczypta soli; 1 łodyga rabarbaru ¼ szklanki naparu z hibiskusa lub dzikiej róży 1 łyżeczka cukru trzcinowego,"Do rondelka wsypać płatki owsiane, dodać mleko kokosowe, cukier oraz sól i gotować 5 – 8 minut.
Rabarbar pokroić w kostkę, dodać napar z hibiskusa oraz cukier. Gotować 3 – 4 minuty.
Gorącą owsiankę przełożyć do miseczek, podawać z rabarbarem."
Idealne bezglutenowe naleśniki,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2016/05/MG_8373-copy-600x900.jpg,,"Ryż zalać sporą ilością zimnej wody i zostawić na noc.
Następnego dnia ryż odcedzić, dodać 1 szklankę świeżej wody i szczyptę soli. Przy pomocy ręcznego blendera dokładnie wszystko zblendować na rzadki, biały płyn. Na koniec dodać łyżkę mąki i zamieszać.
Na dnie patelni rozgrzać mocno olej. Wlać ciasto naleśnikowe, rozprowadzić poruszając patelnią i smażyć przez 2 -3 minuty, następnie obrócić naleśnika i smażyć kolejną minutę. Powtarzać aż do wyczerpania ciasta, podawać na słodko lub na słono."
Risotto bardzo pomidorowe,Śniadania,,,
Pasta z groszku i szczawiu,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2016/04/IMG_0121X1-600x900.jpg,"1 szklanka zielonego groszku, mrożonego lub świeżego ½ pęczka szczawiu / około 25 małych liści, bez łodyżek 2 gałązki świeżej mięty 1 ząbek czosnku 1 – 2 łyżki oliwy sól i czarny pieprz","W niedużym garnku zagotować osoloną wodę, obok naszykować miskę z wodą i kostkami lodu.
Do gotującej się wody dodać groszek, poczekać aż woda zacznie ponownie wrzeć i od tego momentu gotować trzy minuty. Następnie błyskawicznie odcedzić i włożyć groszek do lodowatej wody – dzięki temu zachowa kolor oraz smak.
Groszek ponownie odcedzić, przełożyć do naczynia blendera wraz z pozostałymi składnikami i zblendować na gładką pastę. Doprawić do smaku solą i gotową pastą smarować kanapki, przechowywać w lodówce do tygodnia."
Pasta z groszku i szczawiu,Śniadania,,,
Chałwowa owsianka z jagodami,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2016/01/MG_8385M1-600x900.jpg,⅔ szklanki płatków owsianych 2 szklanki mleka roślinnego 1 łyżka syropu klonowego lub trzcinowego cukru ¼ łyżeczki kardamonu szczypta soli; 2 łyżki tahiny do podania: jagody (świeże lub mrożone) i ulubiony słodki syrop,"Wszystkie składniki owsianki poza tahiną włożyć do małego rondelka i gotować na niedużym ogniu przez 5 – 8 minut, czyli do czasu, aż płatki zmiękną.
Na koniec dodać tahinę, dokładnie wymieszać i nałożyć do miseczek. Podawać razem z dużą łyżką jagód i ulubionym słodkim syropem."
Jesienny twarożek z tofu,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2015/12/MG_70751-600x900.jpg,"1 kostka tofu / 250 g 5 – 6 łyżek soku z kiszonej kapusty 3 – 4 łyżki mleka roślinnego 2 łyżki płatków drożdżowych, do kupienia tutaj 2 łyżeczki koncentratu pomidorowego 1 ½ łyżeczki kminku, podprażonego przez chwilę na gorącej patelni ½ łyżeczki majeranku ¼ łyżeczki cząbru ¼ łyżeczki mielonej kolendry 1 ząbek czosnku sól i czarny pieprz","Wszystkie składniki umieścić w naczyniu blendera i zmiksować na grudkowaty twarożek. Doprawić do smaku solą oraz pieprzem, a w razie potrzeby dodać więcej soku z kiszonej kapusty.
Odstawić do lodówki na 3 godziny, a najlepiej na całą noc. Dopiero w tym czasie twarożek odpowiednio się zakwasi i zacznie smakować tak, jak powinien. Podawać na dobrym pieczywie lub z pokrojonymi kawałkami zimowych warzyw."
Zupa na kwarantannę,Śniadania,,,
"Tom kha, czyli zupa kokosowa",Śniadania,,,
Marchewkowa owsianka,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2015/10/MG_5917-600x900.jpg,"½ szklanki płatków owsianych 1 szklanka mleka roślinnego 1 łyżka syropu klonowego ½ łyżeczki dobrego cynamonu, używam tego ½ łyżeczki suszonego imbiru ¼ łyżeczki gałki muszkatołowej szczypta soli ¾ – 1 szklanka purée marchewkowego* do podania: prażone orzechy laskowe lub pekany, syrop klonowy","Wszystkie składniki poza puree marchewkowym włożyć do małego rondelka i gotować przez 5 – 8 minut na małym ogniu, co jakiś czas delikatnie mieszając.
Kiedy płatki będą miękkie, dodać purée marchewkowe, wymieszać i gotować kolejne 2 – 3 minuty. Gorącą owsiankę podawać razem z uprażonymi orzechami i większą ilością syropu klonowego."
Zupa na kwarantannę,Śniadania,,,
Kokosowa kasza gryczana,Śniadania,,,
Kokosowa kasza gryczana albo śniadanie mocy,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2015/09/MG_54841-600x900.jpg,½ szklanki kaszy gryczanej niepalonej 1 puszka mleka kokosowego / 400 ml ½ – ¾ szklanki wody 1 – 2 łyżki syropu z agawy 2 łyżki siemienia lnianego 1 łyżka maku 1 łyżeczka ekstraktu waniliowego szczypta soli do podania: świeże maliny i mango lub inne ulubione owoce,"Wszystkie składniki poza siemieniem lnianym włożyć do małego garnka, przykryć i gotować na małym ogniu do momentu, aż kasza będzie miękka czyli około 18 – 20 minut.
Gorącą kaszę wymieszać z siemieniem i nakładać do miseczek, podawać ze świeżymi owocami lub innymi ulubionymi dodatkami."
Kaszotto z młodą kapustą,Śniadania,,,
Wegański twarożek,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2015/06/MG_3251-600x900.jpg,"1 szklanka orzechów nerkowca, namoczonych przez noc w wodzie ¼ szklanki płatków drożdżowych, do kupienia tutaj ¼ – ⅓ szklanki wody z ogórków kiszonych ¼ – ⅓ szklanki mleka roślinnego niesłodzonego 1 – 2 łyżki soku z cytryny ½ ząbka czosnku sól i czarny pieprz 5 rzodkiewek 1 cebulka dymka garść posiekanego szczypiorku","Odcedzić namoczone orzechy. Przełożyć do kubeczka blendera, dodać wszystkie składniki poza rzodkiewką i ziołami, a następnie rozpocząć blendowanie. Co jakiś czas skrobać ze ścianek i blendować znowu do momentu, aż uzyskamy gładki krem.
Posiekać rzodkiewki, dymkę i szczypiorek w drobną kostkę i wmieszać w twarożek. Doprawić do smaku solą i pieprzem, a następnie odstawić na godzinę do lodówki."
"Tom kha, czyli zupa kokosowa",Śniadania,,,
Amarantusanka z marchewką,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2015/03/MG_0918-600x900.jpg,"1 szklanka amarantusa ekspandowanego, do kupienia tutaj ¾ szklanki mleka roślinnego do podania: syrop klonowy lub daktylowy, ulubione orzechy lub rodzynki; Składniki na marchewkową posypkę: 1 marchewka 1 łyżka oleju kokosowego lub innego roślinnego ½ łyżeczka cynamonu ¼ łyżeczki imbiru","Piekarnik rozgrzać do 200 stopni. Marchewkę obrać, pokroić w kostkę i połączyć z przyprawami oraz olejem kokosowym. Ułożyć na blasze wyłożonej papierem do pieczenia i piec przez 10 – 15 minut, w tym czasie mieszając zawartość blaszki dwu – trzykrotnie.
Kiedy marchewki będą miękkie, podgrzać mleko w niedużym rondelku. Gdy będzie gorące, zalać nim amarantus, zamieszać, a na wierzch położyć cynamonowe marchewki. Można dodatkowo podawać z ulubionym syropem lub posiekanymi orzechami."
Amarantusanka z marchewką,Śniadania,,,
Awokado faszerowane batatami,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2015/01/MG_0022-600x900.jpg,6 dużych awokado odmiany Hass 1 czerwona papryka 1 batat / 600 g 2 laski selera naciowego 1 ½ szklanki ugotowanej czerwonej fasoli lub puszka fasoli olej do smażenia skórka otarta z 1 limonki ½ łyżeczki wędzonej papryki ½ łyżeczki ostrej papryki ½ łyżeczki słodkiej papryki ½ łyżeczki kuminu ¼ łyżeczki cynamonu ¼ łyżeczki mielonej kolendry 1 puszka krojonych pomidorów ½ szklanki wody 1 duży pęczek kolendry sól i czarny pieprz oraz: limonki do podania,"Piekarnik rozgrzać do 180 stopni. Paprykę pokroić w kostkę, seler posiekać na plasterki, a batata obrać i pokroić w kostkę.
Na dnie dużego garnka rozgrzać olej, dodać warzywa oraz fasolę, smażyć przez 2 – 3 minuty. Dodać wszystkie przyprawy oraz połowę skórki z limonki i smażyć kolejne 5 – 8 minut.
Po tym czasie dodać pomidory, wodę oraz szczyptę soli i gotować kolejne 8 – 10 minut do czasu, aż bataty będą miękkie. W międzyczasie od kolendry oderwać liście, a łodyżki drobno posiekać, tuż przed końcem gotowania do garnka dodać posiekane łodyżki i zdjąć garnek z ognia.
Każde awokado przekroić na pół, wyjąć pestkę i oprószyć solą. W miejsce po pestce nałożyć dużą porcję batatowego gulaszu, obsypać wszystko pozostałą skórką limonki i w ten sam sposób nafaszerować wszystkie awokado. Kiedy będą gotowe, wsunąć je do gorącego piekarnika na 8 – 12 minut.
Podawać z liśćmi kolendry i ćwiartkami limonki do skropienia. Najlepiej smakują bez żadnych dodatków – przecież w środku jest wszystko, czego potrzeba."
Sałatka z czereśni i awokado,Śniadania,,,
Wegańskie lody czekoladowe z batata,Śniadania,,,
Zupa na kwarantannę,Śniadania,,,
Leczo z kurkami,Śniadania,,,
"Tom kha, czyli zupa kokosowa",Śniadania,,,
Tofucznica z jarmużem,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2015/01/MG_2349-600x900.jpg,"2 liście jarmużu / 30 g 1 kostka tofu / 180 g ⅓ – ½ łyżeczka czarnej soli kala namak, do kupienia tutaj 2 – 3 łyżeczki płatków drożdżowych, do kupienia tutaj ¼ łyżeczki kurkumy ⅛ łyżeczki chili ¼ szklanki wody świeżo mielony czarny pieprz olej roślinny do smażenia","Na patelni rozgrzać olej roślinny. Tofu otworzyć, odlać wodę i w palcach rozkruszyć na grube okruchy. Tofu wsypać na rozgrzany olej na patelni i podsmażać przez 4 – 5 minut.
W tym czasie przygotować jarmuż: przełożyć go do dużej miski z zimną wodą, dokładnie wypłukać i podzielić na małe kawałki wykrawając twardą łodygę z środka. Lekko osuszyć i odstawić na bok.
Kiedy tofu lekko się zezłoci, dodać jarmuż razem z czarną solą, płatkami drożdżowymi, chili i kurkumą, następnie dokładnie zamieszać i wlać wodę.
Co jakiś czas mieszając pozwolić tofu dusić się w wodzie przez około 3 – 5 minut, a kiedy cała woda odparuje, smażyć jeszcze chwilę i zdjąć z patelni. Podać posypane świeżo mielonym, czarnym pieprzem i z dobrym pieczywem."
Zupa na kwarantannę,Śniadania,,,
Domowa bezglutenowa granola,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2015/01/MG_2385-600x900.jpg,1 szklanka płatków jaglanych ¼ szklanki migdałów ¼ szklanki nerkowców 2 łyżki pestek dyni ¼ szklanki syropu klonowego lub z agawy 1 łyżeczka ekstraktu waniliowego szczypta soli morskiej; ¼ szklanki amarantusa ¼ szklanki żurawiny,"Piekarnik rozgrzać do 175 stopni. W dużej misce wymieszać ze sobą wszystkie składniki poza żurawiną i amarantusem. Kiedy wszystkie orzechy oraz płatki będą delikatnie sklejone, wyłożyć je na dużą blachę wyłożoną papierem do pieczenia i równomiernie rozprowadzić. Piec przez 15 – 20  minut, w międzyczasie co 5 minut mieszając granolę, aby równomiernie się piekła.
Upieczoną mieszankę wyjąć z piekarnika i odstawić do wystudzenia. Kiedy przestygnie, dodać amarantus i żurawinę. Przesypać do szczelnego słoja i zjadać z ulubionym mlekiem lub kaszą."
Jaglanka z kurkumą i pomarańczami,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2014/12/MG_2972-600x900.jpg,"1 szklanka kaszy jaglanej 2 szklanki mleka roślinnego lub wody 1 laska cynamonu 2 cm świeżego korzenia kurkumy startego na tarce lub ¼ łyżeczki kurkumy, kupuję tutaj szczypta soli morskiej 4 łyżki konfitury pomarańczowej 4 daktyle dobrej jakości","Zagotować wrzątek. Kaszę jaglaną zalać wrzątkiem, następnie wodę odcedzić i czynność powtórzyć.
Tak opłukaną kaszę zalać mlekiem, dodać cynamon wraz z kurkumą i szczyptą soli – gotować pod przykryciem na minimalnym ogniu do czasu, aż kasza wchłonie płyn, czyli około 15 minut.
Ciepłą kaszę nakładać do miseczek, na górę włożyć konfiturę pomarańczową i daktyle."
Kokosowa jaglanka z granatem,Śniadania,https://www.jadlonomia.com/wp-content/uploads/2014/11/MG_2919-600x900.jpg,"1 szklanka kaszy jaglanej 2 szklanki mleka roślinnego lub wody szczypta soli 1 ½ – 2 szklanki / 350 – 500 ml mleka kokosowego garść pestek granatu kilka świeżych daktyli, kupuję tutaj syrop klonowy","W czajniku zagotować wodę. Kaszę jaglaną wsypać do rondelka, zalać wrzątkiem i delikatnie go odlać. Powtórzyć czynność, a następnie wlać do garnka 2 szklanki mleka oraz szczyptę soli. Gotować na najmniejszym ogniu pod przykryciem do czasu, aż kasza wchłonie cały płyn.
Kiedy kasza będzie gotowa, dodać mleczko kokosowe ciągle mieszając – wlać go tyle, aby kasza była kremowa. Gotową kaszę rozłożyć do misek, oblać syropem klonowym i posypać pestkami granatu oraz kilkoma połówkami świeżych daktyli."
