title,image_url,ingredients,instructions,category,ingredients_lemmatized
Bananowe placuszki z rabarbarem,https://www.jadlonomia.com/wp-content/uploads/2013/06/MG_0782-600x900.png,"¾ szklanki mąki 2 łyżki cukru szczypta cynamonu szczypta soli 1 łyżeczka proszku do pieczenia 1 dojrzały banan ½ szklanki mleka roślinnego 2 łyżki oleju ½ szklanki rabarbaru, posiekanego w drobną kostkę","W dużej misce mąkę wymieszać z cukrem, cynamonem, solą i proszkiem do pieczenia. W mniejszej misce zmiksować banana na puree, następnie dodać mleko i olej i wszystko dokładnie wymieszać. Przelać płynne składniki do suchych i połączyć w gęste ciasto.
Do połączonych składników dodać rabarbar pokrojony w kostkę i wmieszać go w ciasto. Na patelni rozgrzać odrobinę oleju i nakładać po jednej łyżce ciasta, smażyć na małym ogniu po 2-3 minuty z każdej strony. Podawać gorące posypane cynamonem i polane syropem z agawy lub innym ulubionym.",Śniadania,mąka cukier cynamon sól banan olej rabarbar
Twarożek z migdałów,https://www.jadlonomia.com/wp-content/uploads/2013/05/MG_8546-600x900.png,"½ szklanki migdałów, całych lub w słupkach 4 łyżki mleka roślinnego 2 łyżeczki soku z cytryny 2 łyżki posiekanego koperku i pietruszki sól i pieprz łyżka płatków drożdżowych, opcjonalnie","Migdały zalać wodą i zostawić na całą noc do namoczenia. Rano namoczone migdały obrać, jeśli były w słupkach, to są już gotowe.
Migdały oraz pozostałe składniki umieścić w naczyniu blendera i wszystko zmiksować na gładki twarożek. Przełożyć do czystego słoiczka i przechowywać w lodówce.",Śniadania,cytryna pietruszka sól
Ulubiona kanapka piknikowa,https://www.jadlonomia.com/wp-content/uploads/2013/05/MG_9024-600x900.png,"2 ciabatty 300 g tofu garść świeżego szpinaku 1 czerwona cebula, pokrojona w pióra; Marynata do tofu: 4 łyżki octu balsamicznego 2 łyżki sosu sojowego 1 łyżka syropu klonowego 3 łyżki wody 2 ząbki czosnku, drobno posiekane sól i pieprz; Pesto z pietruszki na podstawie tego przepisu : pęczek natki pietruszki, posiekany 50 ml oliwy z oliwek 50 ml lekko podprażonych migdałów 1–2 łyżeczki soku z cytryny skórka otarta z połówki cytryny ząbek czosnku 2 łyżki płatków drożdżowych, opcjonalnie sól i czarny pieprz; Pesto z suszonych pomidorów: słoik suszonych pomidorów, wraz z zalewą 3 łyżki prażonych pestek dyni pół łyżeczki syropu z agawy sól i pieprz czarny","Tofu pokroić w cienkie plastry, w małej szklaneczce wymieszać składniki marynaty. Tofu ułożyć w płaskim, dużym naczyniu albo w grubym woreczku i zalać marynatą. Przełożyć do lodówki na godzinę lub dwie.
W międzyczasie przygotować pesto z pietruszki, wszystkie składniki umieścić w naczyniu blendera i zmiksować. Doprawić do smaku solą i pieprzem.
Podobnie przygotować pesto z suszonych pomidorów, przełożyć wszystkie składniki do blendera i zmiksować na gładką pastę.
Zamarynowane tofu zgrillować na suchej patelni grillowej, ewentualnie podsmażyć. Każdą ciabattę przekroić na pół, posmarować z jednej strony pesto z pietruszki, z drugiej pesto z pomidorów i przełożyć grillowanym tofu, szpinakiem i kawałkami czerwonej cebuli. Ciabatty zabrać na piknik i jeść pokrojone w nieduże kawałki.",Śniadania,tofu szpinak cebula sos woda czosnek sól pietruszka cytryna pomidor dynia
Idealne naleśniki bez jajek,https://www.jadlonomia.com/wp-content/uploads/2013/04/MG_8362-600x900.jpg,1 szklanka mąki 1/3 szklanka zmielonych płatków owsianych 1 3/4 szklanki mleka sojowego 1 łyżka oleju 1 łyżeczka cukru trzcinowego szczypta sody szczypta soli,"Płatki zmielić w młynku na idealnie drobną mąkę. W dużej misce wymieszać mąkę, sodę, sól, cukier i zmielone płatki. Wlać mleko i olej, wszystko energicznie wymieszać trzepaczką albo mikserem. Ciasto na początku będzie dość rzadkie, dlatego dobrze zostawić je na kwadrans, żeby zgęstniało.
Patelnię przed pierwszym naleśnikiem cienko posmarować olejem, mocno rozgrzać i wylać chochelkę ciasta. Rozprowadzić ciasto, smażyć z jednej strony następnie przewrócić naleśnika i smażyć z drugiej strony. Tak samo smażyć następne.",Śniadania,mąka olej cukier soda sól
Chleb zmieniający życie,https://www.jadlonomia.com/wp-content/uploads/2013/04/MG_7890-600x900.jpg,"1 szklanka ziaren słonecznika ¾ szklanki siemienia lnianego ½ szklanki migdałów 1 ½ szklanki płatków owsianych 2 łyżki chia, opcjonalnie 10 czubatych łyżek zmielonego siemienia lnianego 2 łyżeczki soli 1 łyżka syropu z agawy 5 łyżek rozpuszczonego oleju kokosowego 1 ½ szklanki letniej wody + 3 łyżki","Piekarnik rozgrzać do 185 stopni. Wszystkie suche składniki wymieszać w dużej misce. W szklance wymieszać wodę, syrop z agawy i olej kokosowy. Wlać płynne składniki do suchych i dokładnie mieszać przez kilka minut.Odstawić na 1-2 godziny, aż do wchłonięcia płynów.
Keksówkę posmarować cienko olejem kokosowym i przełożyć do środka masę z ziarenek. Piec przez 50-60 minut, chleb jest gotowy kiedy można w niego postukać i usłyszeć głuchy, pusty odgłos. Wyjąć z piekarnika, odstawić na godzinę do schłodzenia. Następnie delikatnie wyjąć z foremki i zostawić aż do kompletnego wystudzenia, najlepiej na całą noc. To bardzo ważne, bo nawet lekko letni chleb będzie się jeszcze kruszył. Kroić cienkim i ostrym nożem.",Śniadania,chia sól olej woda
Kanapki z chrzanową pastą z fasoli z pieczonymi warzywami z jabłkiem,https://www.jadlonomia.com/wp-content/uploads/2013/02/MG_3469-600x900.jpg,"Pieczone warzywa: 1 marchewka, duża 1 pietruszka, mała 1 burak, mały 1/4 brukwii, można zastąpić pasternakiem albo selerem 1/2 kwaśnego jabłka 1/2 łyżeczki wędzonej papryki 1/2 łyżeczki ostrej papryki sok z 1/2 cytryny spora szczypta soli; Chrzanowa pasta z fasoli: 1 puszka białej fasoli, odcedzona i opłukana 2 czubate łyżki dobrego chrzanu 2 – 3 łyżki ulubionego oleju tłoczonego na zimno 1 łyżeczka soku z cytryny 1/2 łyżeczki majeranku 1/4 łyżeczki tymianku sól i czarny pieprz oraz do posypania: kminek, opcjonalnie","Warzywa oraz jabłko obieram i kroję w cienkie paseczki, przykładam do dużej blachy albo naczynia żarodpornego. W małej szklance mieszam wszystkie przyprawy z olejem i polewam nimi warzywa, a następnie wszystko mieszam rękami tak, aby warzywa były dokładnie natarte. Naprawdę, ręce nadają się do tego najlepiej, żadne tam łyżki 🙂
Kiedy warzywa są dokładnie wymieszane wsuwam je do rozgrzanego piekarnika i piekę 30-35 minut w temperaturze 180 stopni. W trakcie pieczenia dwa razy otwieram piekarnik i mieszam wszystkie warzywa.
W międzyczasie przygotowuję pastę: w naczyniu blendera umieszczam wszystkie składniki poza kminem i miksuje na wysokich obrotach tak, aby powstał gładki krem. Na koniec próbuje i doprawiam do smaku solą lub pieprzem, jeśli pasta będzie zbyt gęsta można dodać kilka łyżek oleju albo zimnej wody. Pastę chowam do lodówki na przynajmniej pół godziny.
Upieczone warzywa chwilę studzę, przekrajam na pół ulubione bułki i każdą połówkę smaruję chrzanową pastą, a następnie nakładam na nią pieczone warzywa. Posypuję odrobiną kminku i gotowe.",Śniadania,burak seler papryka cytryna sól olej tymianek
Domowa nutella,https://www.jadlonomia.com/wp-content/uploads/2012/11/MG_2014-600x900.jpg,100 g orzechów laskowych ¼ szklanki syropu z agawy 2 czubate łyżki kakao 6-10 łyżek mleka (ja użyłam sojowego),"Orzechy wysypuję na blachę wyłożoną papierem do pieczenia i piekę przez 10 minut w piekarniku nagrzanym do 200 stopni. Wyjmuję i przekładam do czystej kuchennej ściereczki, zawijam i trę zawartością ściereczki przez kilka minut, w ten sposób orzechy pozbędą się skórek. Nie muszą być idealnie wyłuskane, ale im mniej skórek zostanie, tym słodszy i smaczniejszy będzie krem, skórki dodają mu gorzkiego smaku.
Wyłuskane orzechy umieszczam w naczyniu blendera i blenduję je na gładki pył przez około 3 minuty. Następnie dodaję pozostałe składniki i wszystko miksuję na najwyższych obrotach blendera.
Przekładam do czystego słoika i przechowuję w lodówce, trudno mi powiedzieć, ile dokładnie może tam stać, bo u mnie zawsze po tygodniu znika.",Śniadania,kakao
Francuskie tosty z dynią,https://www.jadlonomia.com/wp-content/uploads/2012/10/MG_1184-600x900.jpg,"½ szklanki pure z dyni* ½ szklanki mleka + 3 łyżki (ja użyłam mleka sojowego) 1 łyżeczka kaszy kukurydzianej 1 łyżeczka cynamonu skórka otarta z połowy pomarańczy olej lub masło do smażenia oraz 3 bardzo twarde, mocno zeschnięte bułeczki ( przynajmniej trzydniowe, jeżeli będą zbyt miękkie, tosty zrobią się kluchowate); * puree z dyni robimy tak samo jak w tym przepisie , czyli po prostu pieczemy dynię ze skorupą, a miękki miąższ miksujemy na puree.","Wszystkie składniki połączyć w naczynku na gładką miksturę. Każdą suchą bułeczkę pokroić na cztery lub pięć kromek.
Na patelni rozgrzać tłuszcz, musi być bardzo gorący. Każda kromkę zamoczyć w dyniowej mieszance, najpierw z jednej strony, a potem lekko z drugiej – muszą być dokładnie zanurzone, ale nie przesadnie nasączone. Kromki włożyć na gorącą patelnię, zmniejszyć ogień i smażyć na złoto z obydwu stron. Jeść z syropem klonowym, owocami, cukrem pudrem lub konfiturą – ja zawsze wybieram syrop klonowy.",Śniadania,cynamon olej dynia
Ciasto bananowe,https://www.jadlonomia.com/wp-content/uploads/2012/01/DSC_5870.jpg,"1 ½ szklanki mąki ⅓ szklanki oleju ⅓ szklanki brązowego cukru ⅓ szklanki mleka roślinnego 2 dojrzałe banany 2 łyżeczki proszku do pieczenia szczypta soli ewentualnie: 1 szklanka ulubionych dodatków, ja dodaję orzechy pekan i gorzką czekoladę","Piekarnik rozgrzać do 180 stopni. Keksówkę posmarować delikatnie olejem.
W mniejszej miseczce wymieszać mąkę, proszek do pieczenia oraz sól, a w większej olej oraz cukier. Banany dokładnie rozgnieść widelcem lub blenderem na gładką masę, następnie dodać je do płynnych składników razem z mlekiem i dokładnie wymieszać lub zblendować.
Połączyć składniki suche z mokrymi i wymieszać łyżką, dopóki się nie połączą.Na sam koniec dodać dodatki i jeszcze raz krótko wymieszać.
Ciasto przełożyć do foremki i piec około 45-50 minut. Wystudzić i jeść solo albo posmarowane masłem orzechowym.",Śniadania,mąka olej cukier banan sól
Bruschetty z szafranowym majonezem i pieczoną cukinią,https://www.jadlonomia.com/wp-content/uploads/2011/11/DSC_5305.jpg,pół bagietki jedna nieduża cukinia ⅓ łyżeczki nitek szafranu łyżeczka soku z cytryny dwie łyżki gorącego mleka cztery łyżki majonezu płatki chili sól,"Piekarnik rozgrzać do temperatury 200 stopni. Cukinię umyć i pokroić w cienkie plastry, ułożyć na blaszce posmarowanej oliwą i oprószyć solą. Wsunąć do piekarnika na 12-15 minut.
W międzyczasie w gorącym mleku wymieszać szafran, mieszać tak długo aż nitki się rozpuszczą, a mleko będzie miało intensywnie żółty kolor. Ostudzić i powoli dodawać do majonezu razem z sokiem z cytryny bez przerwy mieszając, aż do uzyskania jednolitej żółtej masy.
Kiedy cukinie będą prawie gotowe, do piekarnika wsunąć także pociętą na kromki bagietkę i pozostawić ją na 3-5 minut.
Gorące bagietki smarować szafranowym majonezem i układać na nich plastry cukinii. Bruschetty opruszyć płatkami chilli i wsuwać.",Śniadania,szafran cytryna sól
Focaccia rewolucyjna,https://www.jadlonomia.com/wp-content/uploads/2020/04/IMG_4491_male-600x900.jpg,500 g mąki pszennej (około 3 1/2 szklanki) 1 1/2 szklanki wody (375 ml) 1 1/2 łyżeczki soli 4 g suchych drożdży; 2 – 4 łyżki oliwy sól do posypania,"Do dużej miski, która na pewno zmieści się w lodówce dodać odmierzoną mąkę, wodę, drożdże oraz sól. Wymieszać składniki przy pomocy silikonowej szpatuły tylko do momentu, aż znikną białe, mączyste paski.Tutajmożecie zobaczyć o jaki efekt chodzi.
Ciasto na chwilę wyjąć z miski przy pomocy szpatuły – będzie się lepić i wyglądać podejrzanie fatalnie, tak ma być. Wlać 2 łyżki oliwy do miski i ponownie włożyć ciasto, obrócić, żeby zanurzyło się w oliwie z każdej strony. I tyle, gotowe.
Miskę szczelnie przykryć silikonową matą lub pokrywką i włożyć do lodówki na8 – 24 godziny.
Po tym czasie formę do pieczenia niedbale posmarować łyżką oliwy i przełożyć ciasto z miski do formy.
Niedbale rozciągnąć palcami, robiąc w cieście wgniecenia i zostawić do wyrastania w ciepłym miejscu pod przykryciem na1,5 – 3 godziny.
Po około godzinie zacząć rozgrzewać piekarnik do 250 stopni. Wyrośnięte ciasto odkryć, powinno być pulchne jak na zdjęciu. Delikatnie i niezbyt agresywnie zrobić kilka dziurek palcem, oblać oliwą, oprószyć solą, najlepiej gruboziarnistą i włożyć do gorącego piekarnika. Piec 16 – 20 minut do momentu, aż focaccia będzie rumiana jak na zdjęciach. Pyszna do kanapek, świetnie się mrozi.",Przystawki,mąka woda sól
Fasolowy pasztet z jabłkiem,https://www.jadlonomia.com/wp-content/uploads/2019/04/IMG_0072_male-600x900.jpg,"2 cebule 1 jabłko 1/2 łyżeczki ostrej papryki 1/2 łyżeczki wędzonej papryki 3 liście laurowe 3 ziarna ziela angielskiego 3 owoce jałowca 1 goździk olej; 1 szklanka ugotowanej kaszy jaglanej / 1/2 szklanki suchej kaszy jaglanej / 100 g suchej kaszy; 2 1/2 szklanki ugotowanej fasoli / 1 szklanka suchej fasoli / 200 g suchej fasoli 1/3 szklanki oleju 2 – 3 łyżki sosu sojowego 1 łyżeczka suszonej pietruszki 1 łyżeczka suszonego majeranku 1 łyżeczka pieprzu ziołowego sól i czarny pieprz do wysypania foremki: olej i bułka tarta, mielone orzechy lub płatki owsiane","Cebulę pokroić w grube półksiężyce, jabłko obrać i pokroić w grubą kostkę. Na dnie dużej patelni rozgrzać sporo oleju, dodać cebulę, jabłko, paprykę ostrą, paprykę wędzoną, liście laurowe, ziele angielskie, jałowiec i goździk. Smażyć na średnim ogniu przez 10 – 12 minut do momentu, aż cebula będzie bardzo miękka i złota.
Piekarnik rozgrzać do 200 stopni. W międzyczasie w dużej misce zblendować dokładnie kaszę jaglaną.
Z usmażonej cebulki wyjąć wszystkie duże przyprawy, a następnie cebulkę dodać do miski z kaszą jaglaną.
Dodać wszystkie pozostałe składniki i zblendować na gładką masę, pomagając sobie podczas blendowania łyżką. Masę wyłożyć do keksówki natartej olejem i wysypanej bułką tartą lub mielonymi orzechami, piec przez 45 – 50 minut. Po upieczeniu pasztet ostudzić, a następnie włożyć do lodówki. Kroić dopiero po całkowitym wystudzeniu, najlepiej smakuje z kiszonym ogórkiem.",Przystawki,cebula jabłko papryka olej sos pietruszka sól
Paszteciki z soczewicą,https://www.jadlonomia.com/wp-content/uploads/2018/12/IMG_9510-600x900.jpg,"Ciasto: 1 szklanka i 2 łyżki mleka roślinnego; 3 szklanki mąki pszennej tradycyjnej lub orkiszowej 1 paczka suchych drożdży 2 łyżeczki cukru trzcinowego 1/2 łyżeczki soli; 1/3 szklanki oleju; Farsz: 1 szklanka soczewicy brązowej lub zielonej 4 suszone grzyby, można pominąć 1/2 łyżeczki oleju sól; 1 cebula, duża 2 liście laurowe 2 ziela angielskie 2 goździki 1 jałowiec 5 łyżek oleju; 2 łyżki sosu sojowego sól i czarny pieprz spora szczypta gałki muszkatołowej; 2 łyżki roślinnego mleka","Przygotowanie ciasta:mleko podgrzać w małym rondelku – ma być ciepłe, ale nie gorące. Do naczynia miksera wsypać mąkę, dodać cukier, drożdże, sól i ciepłe mleko i wyrabiać przez 3 – 4 minuty.
Następnie wlać olej i wyrabiać kolejne 2 – 3 minuty. Kiedy ciasto będzie elastyczne wyjąć z miksera, uformować w kulę, miskę lekko podsypać mąką i włożyć tak uformowane ciasto do miski. Miskę przykryć podwójną warstwą ściereczek kuchennych i zostawić na 1 – 1,5 godziny do wyrastania w ciepłym miejscu bez przeciągów.
Przygotowanie farszu:do rondelka dodać soczewicę, grzyby, olej, sól i wlać tyle wody, żeby przykryła soczewicę na 3 palce. Gotować pod przykryciem na niedużym ogniu przez 18 – 20 minut.
W międzyczasie cebulę pokroić w kostkę. Na patelni rozgrzać olej, dodać wszystkie przyprawy i podsmażać przez 4 – 5 minut do momentu, aż cebula będzie miękka i złota.
Z miękkiej cebulki wyłowić przyprawy, ugotowaną soczewicę odcedzić i z powrotem włożyć do garnka. Do soczewicy dodać cebulkę z olejem, sos sojowy, sól, pieprz oraz sporą szczyptę gałki i wszystko zblendować na gładką masę. Na koniec dodać mleko roślinne i ponownie zblendować. Przełożyć na duży talerz i odstawić w chłodne miejsce do przestudzenia.
Formowanie pasztecików:po upływie przynajmniej godziny wyrośnięte ciasto chwilę wyrabiać rękami, a następnie rozwałkować na grubość 0,5 cm, w razie potrzeby lekko podsypując mąką. Podzielić na 3 lub 4 długie pasy szerokie na około 6 – 8 cm.
Na środek każdego pasa nałożyć przygotowany farsz, skleić i obrócić zlepieniem do dołu. Pokroić na małe paszteciki.
Wyrastanie:paszteciki przełożyć na papier do pieczenia, przykryć ściereczką i zostawić do wyrastania na przynajmniej 30 minut. Piekarnik ustawić na 180 stopni i pozwolić mu się rozgrzać.
Pieczenie:wyrośnięte paszteciki posmarować mlekiem roślinnym, wsunąć do piekarnika i piec przez około 20 – 25 minut do czasu, aż będą złote. Podawać na ciepło lub na zimno, pyszne z barszczem, zupą grzybową, bigosem albo wigilijną kapustką.",Przystawki,mąka cukier sól olej cebula sos
Kulebiak z kiszoną kapustą,https://www.jadlonomia.com/wp-content/uploads/2018/12/IMG_9137_male-600x900.jpg,"Na ciasto: 3/4 szklanki mleka roślinnego; 2 szklanki mąki pszennej, tradycyjnej lub orkiszowej 1 1/2 łyżeczki suchych drożdży instant 1/2 łyżeczki cukru trzcinowego 1/2 łyżeczki solli; 3 – 4 łyżki oleju do posypania: mleko roślinne, mak, czarnuszka lub sezam; Na farsz: 1/2 szklanki suszonych grzybów 1 1/2 szklanki wody; 2 cebule 1 liście laurowe 2 ziela angielskie 2 goździki olej; 500 g kapusty kiszonej 1/4 szklanki suszonej żurawiny 1 – 2 łyżki sosu sojowego 1/2 łyżeczka pieprzu ziołowego 1/2 łyżeczki kminku, mielonego 1/4 łyżeczki czarnego pieprzu 1/4 łyżeczki mielonej kolendry 1/2 łyżeczki soli","Przygotowanie ciasta drożdżowego:w małym rondelku lekko podgrzać mleko. Do misy miksera dodać wszystkie składniki za wyjątkiem oleju, wlać ciepłe mleko i wyrobić przy pomocy haka do ciasta drożdżowego. Tak samo można wyrobić ręcznie w misce.
Kiedy ciasto będzie elastyczne i zwarte dodać olej i ponownie wyrobić do momentu, aż cały olej się wchłonie i ciasto będzie sprężyste. Ciasto uformować kulę, włożyć do miski podsypanej mąką i dokładnie przykryć kuchenną ściereczką. Zostawić do wyrastania w ciepłym miejscu na 1 – 1 1/2 godziny.
Przygotowanie farszu:grzyby zalać wodą, odstawić. Cebulę pokroić w kostkę. Na dnie dużego garnka rozgrzać sporo oleju, dodać cebulkę, przyprawy i smażyć kilka minut do momentu, aż cebulka zrobi się złota i miękka.
Kapustę w razie potrzeby dodatkowo posiekać. Dodać ze wszystkimi pozostałymi składnikami oprócz grzybów do cebuli i podsmażać z cebulką przez 3 – 4 minuty, co jakiś czas mieszając. Kiedy kapusta będzie dokładnie wymieszana z aromatyczną cebulą i olejem dodać grzyby z wodą, zamieszać i przykryć. Gotować pod przykryciem, na małym ogniu 20 – 30 minut. Na koniec spróbować, doprawić do smaku i przełożyć na duży talerz lub do miski – dzięki temu szybciej wystygnie. Uf, wszystko gotowe. Teraz można sobie chwilę pogadać z domownikami, poklikać w telefon lub poodpoczywać – kapusta stygnie, ciasto rośnie.
Formowanie:kiedy ciasto wyrośnie moża formować jednego dużego kulebiaka lub dwa mniejsze. Na stole rozłożyć papier do pieczenia, lekko podsypać go mąką i wyjąć z miski wyrośnięte ciasto. Formować tak jak na zdjęciach poniżej, na koniec położyć sklejeniem do dołu i przykryć ściereczką. Piekarnik zacząć rozgrzewać do 200 stopni, kulebiaka zostawić na 20 – 40 minut.
Kulebiaka posmarować roślinnym mlekiem i obsypać makiem. Wsunąć do piekarnika i piec 30 – 40 minut czyli do momentu, aż będzie złocisty. Pyszny na ciepło, na zimno, w dniu pieczenia, a nawet pięć dni później.",Przystawki,mąka cukier olej mak woda cebula kapusta żurawina sos sól
Boczniaki z burakami i żurawiną,https://www.jadlonomia.com/wp-content/uploads/2018/12/IMG_9204_male-600x900.jpg,"500 g boczniaków sól olej do smażenia; 1 – 2 upieczone buraki 1/2 szklanki żurawiny, suszonej 1/2 czerwonej cebula; Składniki marynaty: 1/4 szklanki oleju lnianego tłoczonego na zimno 3 łyżki octu jabłkowego 2 – 3 łyżki sosu sojowego 2 liście laurowe 5 goździków 4 ziarna pieprzu 2 ziela angielskie 1/4 łyżeczki soli","Piekarnik rozgrzać do 180 stopni. Boczniaki pokroić wzdłuż na małe paseczki. Natrzeć je porządnie olejem, obsypać solą i wysypać na blachę wyłożoną papierem do pieczenia. Piec przez 20 minut czyli do momentu, aż będą miękkie.
W międzyczasie buraki obrać i pokroić w kostkę, żurawinę posiekać, cebulę pokroić w cienkie plasterki. W miseczce wymieszać wszystkie pozostałe składniki, czyli marynatę do boczniaków.
Upieczone boczniaki wyjąć i przełożyć do dużej miski. Dodać wszystkie składniki i porządnie wymieszać. Tak przygotowane boczniaki przełożyć do dużego słoja i odstawić do lodówki przynajniej na kilka godzin, a najlepiej na całą noc lub kilka dni. Podawać z pieczywem lub bez dodatków, przechowywać do 2 tygodni.",Przystawki,sól olej burak żurawina cebula sos
Birmańska sałatka z pomidorów,https://www.jadlonomia.com/wp-content/uploads/2018/09/IMG_9467_male-600x900.jpg,"2 szalotki lub 1/2 małej cebuli sok z 1/2 limonki; 3 łyżki orzechów ziemnych 2 łyżki sezamu; 500 g pomidorów 1 łyżka sosu sojowego 1/2 łyżki oleju, sezamowego albo neutralnego w smaku 1/2 pęczka kolendry szczypta soli opcjonalnie: 1 łyżka prażonej cebulki","Szalotki pokroić w półplasterki i włożyć do szklanki. Z limonki wycisnąć sok, wlać do szalotek, wymieszać i zostawić.
W między czasie mocno rozgrzać małą patelnię. Na gorącą, suchą patelnię dodać sezam, uprażyć, przesypać na talerzyk. Dodać fistaszki, uprażyć i przesypać na deskę.
Uprażone orzechy dość mocno rozgnieść – można zrobić to na desce używając wałka albo innego ciężkiego przedmiotu.
Pomidory pokroić na mniejsze kawałki, kolendrę posiekać i wrzucić do miski. Dodać sos sojowy, olej, sól oraz wszystkie naszykowane wcześniej składniki i porządnie wymieszać. Spróbować i podawać bez żadnych dodatków jako lunch, naprawdę świetnie smakuje z ciepłym ryżem.",Przystawki,cebula limonka sezam pomidor sos olej sól
Wegańskie tzatziki,https://www.jadlonomia.com/wp-content/uploads/2018/08/IMG_7995_male-600x900.jpg,"500 g ogórków 1/2 łyżeczki soli; 1 ząbek czosnku 1 łyżka soku z cytryny szczypta soli; 1 1/4 – 1 1/2 szklanka jogurtu sojowego lub kokosowego / 400 g; 4 – 5 gałązek kopru 1 gałązka mięty, opcjonalnie sól i pieprz oraz: oliwa z oliwek dodatkowy sprzęt: gaza, tetra lub czysta kuchenna ściereczka do odciśnięcia ogórków","Ogórki obrać, przekroić na pół i przy pomocy łyżeczki wyjąć galaretkowate wnętrze z pestkami. Tak przygotowane ogórki zetrzeć na grubych oczkach tarki do miski, dodać sól i wymieszać.
Czosnek zetrzeć na drobnych oczkach tarki, włożyć do szklanki, dodać sok z cytryny oraz sól. Wymieszać i odstawić zarówno ogórki, jak i czosnek na 15 – 30 minut.
Po upływie tego czasu ogórki porządnie odcisnąć w ściereczce – powinny być prawie suche, a soku powinno zebrać sie naprawdę sporo.
Odciśnięte ogórki włożyć z powrotem do miski. Posiekać świeże zioła i dodać do ogórków razem z jogurtem oraz czosnkiem namoczonym w soku z cytryny. Dokładnie wymieszać, doprawić do smaku solą oraz czarnym pieprzem. Przełożyć do miseczki, polać odrobiną oliwy z oliwek oraz oprószyć czarnym pieprzem. Świetnie smakuje z falafelami, wegeburgerami, pieczywem a nawet po prostu z pokrojonymi warzywami.",Przystawki,ogórek sól czosnek cytryna
Paprykowe gazpacho z wędzoną papryką,https://www.jadlonomia.com/wp-content/uploads/2018/08/IMG_8991_male-600x900.jpg,"1 kg pomidorów, malinowych i zwykłych 2 papryki czerwone 2 ogórki gruntowe 1 czerwona cebula 1 łyżeczka papryki wędzonej 1 łyżeczka soli 3 plastry bagietki lub delikatnego pieczywa; 2 1/2 łyżki octu jabłkowego lub winnego 2 łyżki ajvaru, opcjonalnie 1/4 – 1/2 łyżeczki syropu z agawy lub dowolnego słodzika 1/4 łyżeczki płatków chili; 1/4 szklanki oliwy do podania: posiekany ogórek, posiekana papryka oraz chili","Ogórki obrać, a następnie wraz ze wszystkimi pozostałymi warzywami pokroić w grubą kostkę, dodać sól, wędzoną paprykę, połamaną na kawałki bagietkę i włożyć do dużej miski. Wymieszać i zostawić na blacie na przynajmniej 30 minut, a najlepiej na 1 – 2 godziny.
Po tym czasie warzywa odcisnąć na sicie nad miską, w miscezebrać sok z warzyw i go nie wylewać.Odciśnięte warzywa włożyć do kielicha blendera, dodać ocet, syrop z agawy, chili oraz opcjonalnie ajvar i wszystko dokładnie zblendować. Dodać sok z warzyw i blendować kolejną minutę na wysokich obrotach, a następnie powoli wlewać oliwę.
Na koniec doprawić do smaku solą i w razie potrzeby większą ilością octu, podawać z posiekanymi ogórkami oraz papryką i dodatkową szczyptą chili.",Przystawki,pomidor papryka ogórek cebula sól
Wegańska feta z arbuzem,https://www.jadlonomia.com/wp-content/uploads/2018/07/IMG_8036_male-600x900.jpg,"Składniki na wegańską fetę:; 1/3 szklanki soku z cytryny 3 łyżki wody z ogórków kiszonych 1 łyżka soli 1/2 – 2/3 szklanki oliwy 2 łyżki płatków drożdżowych, opcjonalnie; 300 g tofu; Składniki na sałatkę: 1 kg arbuza 1 – 2 łyżki soku z limonki garstka świeżej mięty, posiekanej chili świeże lub suszone, opcjonalnie","Tofu pokroić w kostkę i ciasno ułożyć w dużym słoiku lub pojemniku.
Przy pomocy ręcznego blendera zmiksować wszystkie składniki zalewy na gładką emulsję. Zalać tofu i odstawić do lodówki przynajmniej na jedną dobę.
Następnego dnia tofu dokładnie odsączyć, zalewę pozostawić – można w niej zamarynować kolejną porcję. Odsączone tofu pokruszyć do miski.
Arbuza pokroić w kostkę, wymieszać z tofu, miętą, sokiem z limonki oraz chili. Jeśli macie ochotę spróbować innych wersji tej sałatki, poniżej znajdziecie kilka propozycji.",Przystawki,cytryna woda ogórek sól tofu limonka
