title,image_url,ingredients,instructions,category
Najłatwiejszy chlebek bananowy – bez mąki,http://ervegan.com/wp-content/uploads/2017/02/owsiany-chlebek-bananowy-bez-maki-2.jpg-.jpg,"['Składnikina keksówkę około 24 cm:3 dojrzałe, duże banany (lub 4 mniejsze)2½ szklanki zmielonych na pył płatków owsianych½ szklanki cukru trzcinowego\xa0–opcjonalnie, bo wypiek jest słodki dzięki bananom1½ łyżeczki proszku do pieczenia1 łyżeczka sody oczyszczonej4 łyżki neutralnego oleju roślinnego2 łyżeczki cynamonu1 łyżeczka imbiru½ łyżeczki gałki muszkatołowejodrobina mielonej wanilii lub\xa0½ łyżeczki ekstraktu waniliowegoszczypta solidodatki, np. pistacje, orzechy laskowe\xa0lub\xa0włoskie, gorzka czekolada, chipsy kokosoweWydrukuj przepis']","['1. W misie miksera lub malaksera rozgnieć banany na gładką masę, a następnie dodaj olej.2. Do osobnej miski\xa0przesyp wszystkie suche składniki: zmielone płatki owsiane, cukier, proszek do pieczenia, sodę oraz przyprawy. Całość\xa0dokładnie wymieszaj, a następnie przesyp do bananów\xa0i porządnie połącz obie masy.3. Gotową masę na chlebek odstaw na kilka minut, aby płatki pochłonęły część wilgoci\xa0i napęczniały. W\xa0tym czasie nagrzej piekarnik do 200°C.4. Keksówkę wyłóż papierem do pieczenia, a do środka przelej owsianą masę. Na koniec na wierzch dodaj wszystkie ulubione, wcześniej posiekane składniki.5. Ciasto piecz przez około 25 minut, aż chlebek pięknie wyrośnie i się upiecze. Pamiętaj, że środek powinien być nadal lekko wilgotny, inaczej gotowy wypiek będzie suchy i może się rozpadać. Gdy ostygnie, będzie gotowy. Smacznego!']",Śniadania
Truskawkowy budyń jaglany,http://ervegan.com/wp-content/uploads/2016/06/truskawkowy-budyn-jaglany-0316.jpg,"['Składnikina około 2 średnie porcje:½szklanki suchej kaszy jaglanej1 szklanka mleka sojowego lub dowolnego roślinnego2–3 szklanki truskawekksylitol do smakuodrobina ekstraktu waniliowegoszczypta soliWydrukuj przepis', '1. Kaszę ugotuj w mleku, aż będzie miękka i wchłonie cały płyn.2. Ugotowaną kaszę zmiksuj w blenderze razem z truskawkami, ksylitolem (2–3 łyżki do smaku) oraz ekstraktem waniliowym ze szczyptą soli. Jeżeli budyń jest zbyt gęsty – dodaj truskawek albo więcej roślinnego mleka.3. Zajadaj zkwaśną śmietanką,dżemem chialub zkokosową bitą śmietaną. Smacznego!']","['1. Kaszę ugotuj w mleku, aż będzie miękka i wchłonie cały płyn.2. Ugotowaną kaszę zmiksuj w blenderze razem z truskawkami, ksylitolem (2–3 łyżki do smaku) oraz ekstraktem waniliowym ze szczyptą soli. Jeżeli budyń jest zbyt gęsty – dodaj truskawek albo więcej roślinnego mleka.3. Zajadaj zkwaśną śmietanką,dżemem chialub zkokosową bitą śmietaną. Smacznego!']",Śniadania
Najlepsze owsiane batoniki,https://ervegan.com/wp-content/uploads/2016/02/batoniki-owsiane-bananowe-9998.jpg,[],[],Śniadania
Idealne racuchy z jabłkami – bez jajek,https://ervegan.com/wp-content/uploads/2015/11/racuchy-z-jablkami-ervegan.jpg,[],[],Śniadania
Dyniowa granola,http://ervegan.com/wp-content/uploads/2015/10/dyniowa-granolaFB-7422.jpg,['Składnikina spory słoik granoli:2\xa0½ szklanki płatków owsianych górskich1 szklanka orzechów nerkowcaokoło 7 – 9 łyżek średnio gęstegopurée z dyni⅓ szklanki syropu klonowego (mniej/więcej do smaku – ja lubię mieszać z daktylowym)2 łyżeczki cynamonu1 łyżeczka imbiru½ łyżeczki kardamonuszczypta gałki muszkatołowejWydrukuj przepis'],"['1. Piekarnik nagrzej do 180°C, a blachę wyłóż papierem do pieczenia. Płatki owsiane przesyp do dużej miski i dodaj do nich posiekane orzechy nerkowca.2. Dodaj przyprawy i wymieszaj, a następnie dodaj purée z dyni, aż masa sklei się i połączy. Porządnie wymieszaj, aż masa dokładnie się połączy. Kolejno przełóż ją na blachę do pieczenia i rozprowadź równomiernie widelcem.3. Włóż do piekarnika i piecz około 30 minut (mimo wszystko pilnuj, aby się nie spaliła), co jakiś czas mieszając masę, by zezłociła się ze wszystkich stron. Pod koniec możesz podsuszyć granolę używając termoobiegu.4. Odstaw do ostudzenia, a potem już tylko zajadaj razem z mlekiem orzechowym! Smacznego.Smakowało?Wesprzyj mnie i postaw symboliczną kawę, aby pojawiało się więcej takich przepisów!']",Śniadania
Pełnoziarniste placuszki z dyniowym musem i figami,http://ervegan.com/wp-content/uploads/2015/09/placuszki-z-musem-dyniowym-6504.jpg,"['Składnikina około 5 sztuk średnich placuszków:½ szklanki pszennej mąki pełnoziarnistej½ szklanki płatków owsianych górskich¾ szklanki mleka sojowego1 łyżka syropu klonowego1 ½ łyżeczki octu½ łyżeczki proszku do pieczenia1 łyżeczka sody oczyszczonejszczypta soli1 łyżeczka oleju rzepakowego (opcjonalnie)olej do smażeniado podania: kilka łyżekpurée z dyni1 łyżeczka cynamonu½ łyżeczki gałki muszkatołowejkilka łyżek stałej części mleka kokosowego2 świeże figiWydrukuj przepis', '1. W małej misce wymieszaj mleko sojowe z octem i syropem klonowym. Dodaj płatki owsiane, olej\xa0i\xa0porządnie wymieszaj, następnie odstaw na bok na kilka minut.2. W drugiej\xa0małej misce wymieszaj mąkę z sodą oczyszczoną, proszkiem do pieczenia i\xa0szczyptą soli.3. Suche składniki przesiej do mokrych cały czas mieszając, aż dobrze się połączą.4. Na rozgrzanej patelni smaż małe porcje placuszków z dwóch stron.5. Do musu dyniowego dodaj cynamon oraz gałkę muszkatołową i podawaj go razem z\xa0pankejkami, kleksem mleka kokosowego oraz pokrojonymi figami. Smacznego!']",[],Śniadania
Cieciorella – słodki krem czekoladowy z ciecierzycy,http://ervegan.com/wp-content/uploads/2015/03/cieciorella-nutella-ervegan-9626.jpg,['Składnikina większy słoik:2 szklanki (340g) ugotowanejciecierzycy5 łyżek (100g)masłaorzechowego5 łyżek (50g)kakao1 spora szklanka (150g)suszonychdaktyli½ szklanki (125ml)mlekaroślinnego(lub więcej)Wydrukuj przepis'],"['1. Daktyle zalej wrzątkiem i odstaw na około 10 minut do namoczenia. Ciecierzycę umieść w naczyniu blendera i dodaj kakao, następnie\xa0namoczone i odsączone z wody daktyle, masło orzechowe i połowę mleka roślinnego. Wszystko zmiksuj dokładnie na gładką pastę.2. Dodawaj więcej lub mniej mleka roślinnego by kontrolować konsystencję pasty/kremu. Gotowe! Smarnij na kanapkę lub gofra. Boska cieciorella sprawdzi się również przy naleśnikach i wszelkich babeczkach!']",Śniadania
Smoothie granola – śniadaniowa micha,http://ervegan.com/wp-content/uploads/2015/02/IMG_1415.jpg,"['Składniki:smoothie: 3 – 4 gałązki jarmużu oderwane od grubych łodyg1 banan½ awokado1 łyżka gęstego mleka kokosowegosyrop z agawy dla słodkościmleko migdałowedo uzupełnienia (niewiele)dodatki: 2 – 3 łyżki płatków żytnich1 łyżka nasion chia1 łyżeczka kakaokilkanaście migdałów i nerkowcówWydrukuj przepis', 'Składniki:smoothie: 2 banany lub szklanka ugotowanej kaszy jaglanej lub ½ szklanki płatków owsianych1 – 2 garści mrożonych owoców (truskawki, owoce leśne)kilka sztuk daktylimleko migdałowedo\xa0uzupełnieniadodatki: 3 – 4 łyżki płatków jaglanych1 łyżeczka nasion chia2 łyżeczki wiórków kokosowychWydrukuj przepis', 'Składniki:smoothie: ¾ \xa0szklanki gęstego mleka kokosowego2 łyżkimasła orzechowego2 łyżki karobusyrop z agawymleko migdałowedo uzupełnieniadodatki: kilka łyżekbezglutenowej granoliWydrukuj przepis']",[],Śniadania
Pudding z nasion chia – podstawowy,http://ervegan.com/wp-content/uploads/2014/10/IMG_01641.jpg,"['Składnikina 2-3 średnie porcje:1 puszka całego mleka kokosowego (400ml)1 – 2 szklanki mleka sojowego (bądź migdałowego)5 łyżek nasion chia (albo nawet 6 w gęstszej wersji)1-2 łyżki syropu z agawy (w przypadku dodatku daktyli najczęściej nie dosładzam)dodatki: wszelakie owoce, chipsy kokosowe, orzechy, muesliWydrukuj przepis', '1. Mleko kokosowe i sojowe połącz w dużej misce przy użyciu trzepaczki.2. Dodaj syrop z agawy i ew. dodaj więcej gdy lubisz bardziej słodkie desery.3. Wsyp i wymieszaj z płynem nasiona chia.4. Odstaw do lodówki na minimum 2-3 godziny, ale najlepiej na całą noc.5. Dodaj owoce, lub ulubione deserowe dodatki. Na śniadanie dodaj banana, prażone nerkowce i łyżkę masła orzechowego i smacznego!']","['1. Mleko kokosowe i sojowe połącz w dużej misce przy użyciu trzepaczki.2. Dodaj syrop z agawy i ew. dodaj więcej gdy lubisz bardziej słodkie desery.3. Wsyp i wymieszaj z płynem nasiona chia.4. Odstaw do lodówki na minimum 2-3 godziny, ale najlepiej na całą noc.5. Dodaj owoce, lub ulubione deserowe dodatki. Na śniadanie dodaj banana, prażone nerkowce i łyżkę masła orzechowego i smacznego!Smakowało?Wesprzyj mnie i postaw symboliczną kawę, aby pojawiało się więcej takich przepisów!']",Śniadania
Bezglutenowa granola,http://ervegan.com/wp-content/uploads/2014/09/IMG_9987.jpg,"['Składnikina całą blachę do piekarnika:1 szklanka płatków jaglanych1 szklanka płatków gryczanych1 szklanka nerkowców (migdałów, lub ulubionych orzechów), posiekanych½ szklanki słonecznika1 szklanka suszonych daktyli (około 25 sztuk)¼ łyżeczki cynamonu¼ łyżeczki gałki muszkatołowejopcjonalnie: jeśli lubisz ekstra słodkie śniadanie, dodaj 2 łyżki syropu z agawyWydrukuj przepis', '1. Wszystkie sypkie składniki przesyp\xa0do dużej miski.2. Daktyle namocz we wrzątku na 15 minut i nagrzej piekarnik do\xa0180 stopni.3. Gdy daktyle się namoczą, zmiksuj je blenderem ręcznym z ½ szklanką wody na gładką masęi dodaj ją do sypkich składników.4. Wszystko dokładnie wymieszaj aby się skleiło (można dodać ew. trochę wody).5. Piecz w piekarniku z funkcją termoobiegu około 10-15 minut,aż do momentu gdy granola zacznie się przypalać (pilnuj!).6. Odstaw do ostygnięcia i przełóż do szczelnie zamykanego pojemnika (będzie się kruszyć!),lub bezpośrednio do jogurtu i zajadaj ze smakiem.']",[],Śniadania
Najlepszy smoothie,http://ervegan.com/wp-content/uploads/2014/07/IMG_9762.jpg,"['Składnikina 1-3 porcje:1 średni banan1 lub 2 szklanki jarmużu (oderwanych liści od zgurbiałej łodygi, możesz zastąpić świeżym szpinakiem)½ awokado1 brzoskwinia, nektarynka bądź morela (można zastapić ¼ mango lub kilkoma kostkami melona)3 daktyle1 łyżka płatków gryczanych/jaglanych/owsianych (najczęściej wybieram gryczane)2 łyżeczki zmielonego siemienia lnianegomleko roślinne\xa0do uzupełnienia (½ – 1 szklanka)Wydrukuj przepis', '1. Daktyle zalej na chwilę wrzątkiem.\xa0Oderwij z jarmużu zgrubiałe łodyżki i włókna.2. Wszystkie składniki oprócz mleka umieść w blenderze. Dodaj pół szklanki mleka i zacznij miksować.3. W razie potrzeby dodaj mleko aby uzyskać konsystencję wg uznania.']",[],Śniadania
Bezglutenowe racuchy migdałowe z malinami,http://ervegan.com/wp-content/uploads/2014/07/IMG_9607.jpg,"['Składniki:160g mąki migdałowej (wysuszonej pulpy migdałowej po robieniumleka migdałowego)95g skrobi ziemniaczanej¼ szklanki zgnieconego banana na puree (około jeden duży, dwa małe)¾ szklanki mleka roślinnego (polecam tutaj z orzechów laskowych, ryżowe lub sojowe)2 łyżki oleju roślinnego1,5 łyżki cukru (używam z prawdziwą wanilią bądź cynamonowego)2 łyżeczki bezglutenowego proszku do pieczenia (używam firmy Bezgluten, cenowo taniej\xa0od zwykłego proszku, do tego w fajniejszym 100-gramowym opakowaniu)szczypta solisezonowe owoce (maliny, borówki, porzeczki, agrest, jagody)Wydrukuj przepis', 'Z podanego przepisu możesz zrobićgofry, użyj wtedy jednak mniej mleka, o około 4 łyżki mniej.']",[],Śniadania
Kanapka z bobem „Bób i pajda”,https://ervegan.com/wp-content/uploads/2023/07/bob-i-pajda-ervegan-blog.jpg,"['Składnikina 1 porcję:1 porządna kromka fajnego chleba*150g bobu¼ czerwonej cebuli lub 1 mała szalotka1–2 łyżki soku z cytryny2 łyżki posiekanej natki pietruszki1 łyżeczka oliwyodrobina papryczki chili (opcja)odrobina skórki z cytryny (opcja)trochę świeżych listków*2 łyżki wegańskiego labneh*sól, pieprzWydrukuj przepis']","['1. Kromkę chleba stostuj, cebulę posiekaj, a bób ugotuj i obierz ze skórki.2. W misce ugnieć nieco szalotkę z solą, pieprzem i sokiem z cytryny. Dodaj pietruszkę i oliwę oraz opcjonalnie chili i skórkę z cytryny. Wszystko wymieszaj.3. Pajdę chleba posmaruj labneh, dodaj rukolę i bobową mieszankę dobroci. Jedz od razu, smacznego!Smakowało?Wesprzyj mnie i postaw symboliczną kawę, aby pojawiało się więcej takich przepisów!*Używam pszenno–żytniego chleba na zakwasie z piekarni, ale Wasz ulubiony chleb z marketu też będzie dobry!*Używam rukoli, bo miałem pod ręką – dobierzcie dowolne ulubione, np. szpinak, roszponkę.*Labneh to serek z jogurtu, odsączony z wody – przygotowanie jest proste, jednak jogurt musi na sitku w ściereczce odciekać z wody przez minimum noc w lodówce. Ja robię taki co tydzień i używam w sezonie letnim non stop, bardzo polecam! Konkretnyprzepis znajdziesz tutaj.']",Śniadania
Niezastąpiony pasztet z fasoli,https://ervegan.com/wp-content/uploads/2022/11/pieczony-pasztet-z-fasoli.jpg,[],[],Śniadania
Moja studencka kanapka,https://ervegan.com/wp-content/uploads/2022/10/moja-weganska-kanapka-ervegan.jpg,['Składnikina 1 porządną kanapkę:2 kromki chlebusia2 łyżki hummusu*2–3 liście sałaty5–6 plasterków wędzonego tofu1 łyżeczka musztardy*1 kiszony ogórasmały kawałek papryki lub buraka*odrobinka olejuWydrukuj przepis'],"['1. Kromki chleba podpiecz w tosterze lub na suchej patelni.2. Na odrobince oleju podsmaż tofu, ale możesz to pominąć, gdy się\xa0śpieszysz (lub brakuje oleju, a rachunek za prąd przeraża) i użyć go prosto z opakowania, w kanapce smakuje równie dobrze.3. Chlebuś posmaruj hummusem, kolejno nałóż sałatę i wędzone tofu, które posmaruj musztardą.4. Ogórka pokrój na plasterki, a paprykę w słupki (buraka w plastry) i ułóż na tofu z musztardą.5. Całą kanapkę\xa0zamknij drugą kromką chleba również posmarowanego hummusem.6. Zapakuj do lunchboxa lub zjedz od razu, byleby nie w biegu. Smacznego!']",Śniadania
#15 erBox – Tortilla wrap z pastą z fasoli,http://ervegan.com/wp-content/uploads/2022/07/tortilla-pasta-z-fasoli-ervegan-1.jpg,['Składnikina 1 wrapa:wrap tortilli (z ziarnami)3 łyżkipasty z czerwonej fasoli4 plastry pomidora1 większa garść mieszanki sałat2 łyżeczki ulubionego dressingu4 plastry tofu wędzonego (ok. 60g)ćwiartka paprykiWydrukuj przepis'],"['1. Wrapa przetnij od środka, ale tylko do połowy, tak jakbyś wyznaczał_a jego promień. Rozłóż wszystkie składniki tak jak na zdjęciach i złóż każdą część po kolei. W lunchboxie lekko zmięknie i nic nie będzie się rozpadać. Smacznego!']",Śniadania
